IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
6140128230780335611;Чаша декоративная 16 см;Чаша декоративная 16 см;;31479;;;;;;3;;;;;;;;
7408140295271002866;Чаша декоративная 36*35см ;Чаша декоративная 36*35см ;;23256;;;;;;1;;;;;;;;
6944835607852057461;Хлебница 36см;Хлебница 36см;;36087;;;;;;1;;;;;;;;
6289341825616368;Хлебница 44см;Хлебница 44см;;36086;;;;;;1;;;;;;;;
2752686920950125873;Хлебница деревянная 36см;Хлебница деревянная 36см;;25958;;;;;;1;;;;;;;;
1174384660590874943;Чайник со свистком 1.5л;Чайник со свистком 1.5л;;34656;;;;;;1;;;;;;;;
7795501238114478942;Чайник со свистком 1л;Чайник со свистком 1л;;34655;;;;;;4;;;;;;;;
80495902978889792;Чайник со свистком 2\,5л;Чайник со свистком 2\,5л;;25309;;;;;;1;;;;;;;;
333464917657710378;Чайник со свистком 2.3л;Чайник со свистком 2.3л;;34657;;;;;;2;;;;;;;;
4272172837620372832;Чайник со свистком 2.5л;Чайник со свистком 2.5л;;36450;;;;;;2;;;;;;;;
2409182723501566213;Чайник со свистком 3\,0л;Чайник со свистком 3\,0л;;35882;;;;;;1;;;;;;;;
8642234351975879507;Чайник со свистком 3л;Чайник со свистком 3л;;34658;;;;;;4;;;;;;;;
572675048939956912;Чайник со свистком 4л;Чайник со свистком 4л;;34659;;;;;;2;;;;;;;;
6487962742940625950;Чайник эмалированный 2\,5л;Чайник эмалированный 2\,5л;;25360;;;;;;2;;;;;;;;
6487962742940625950;Чайник эмалированный 2\,5л;Чайник эмалированный 2\,5л;;25362;;;;;;2;;;;;;;;
2976098948543784916;Чайник эмалированный 2.5л;Чайник эмалированный 2.5л;;29665;;;;;;36;;;;;;;;
2976098948543784916;Чайник эмалированный 2.5л;Чайник эмалированный 2.5л;;29666;;;;;;4;;;;;;;;
4680151102587152266;Чайник эмалированный 3л;Чайник эмалированный 3л;;29662;;;;;;1;;;;;;;;
4680151102587152266;Чайник эмалированный 3л;Чайник эмалированный 3л;;29664;;;;;;2;;;;;;;;
4680151102587152266;Чайник эмалированный 3л;Чайник эмалированный 3л;;32647;;;;;;2;;;;;;;;
4680151102587152266;Чайник эмалированный 3л;Чайник эмалированный 3л;;32668;;;;;;1;;;;;;;;
4680151102587152266;Чайник эмалированный 3л;Чайник эмалированный 3л;;25349;;;;;;2;;;;;;;;
4680151102587152266;Чайник эмалированный 3л;Чайник эмалированный 3л;;25350;;;;;;1;;;;;;;;
3157983654793367394;Чайник эмалированный 4л;Чайник эмалированный 4л;;29655;;;;;;1;;;;;;;;
3157983654793367394;Чайник эмалированный 4л;Чайник эмалированный 4л;;29656;;;;;;2;;;;;;;;
3157983654793367394;Чайник эмалированный 4л;Чайник эмалированный 4л;;29657;;;;;;1;;;;;;;;
3157983654793367394;Чайник эмалированный 4л;Чайник эмалированный 4л;;29659;;;;;;1;;;;;;;;
3157983654793367394;Чайник эмалированный 4л;Чайник эмалированный 4л;;29660;;;;;;1;;;;;;;;
3157983654793367394;Чайник эмалированный 4л;Чайник эмалированный 4л;;29995;;;;;;1;;;;;;;;
3157983654793367394;Чайник эмалированный 4л;Чайник эмалированный 4л;;32646;;;;;;1;;;;;;;;
3157983654793367394;Чайник эмалированный 4л;Чайник эмалированный 4л;;35833;;;;;;1;;;;;;;;
7197727073853630467;Чайник эмалированный с фильтром из НЖС 1.3л;Чайник эмалированный с фильтром из НЖС 1.3л;;29654;;;;;;2;;;;;;;;
7197727073853630467;Чайник эмалированный с фильтром из НЖС 1.3л;Чайник эмалированный с фильтром из НЖС 1.3л;;35672;;;;;;2;;;;;;;;
7197727073853630467;Чайник эмалированный с фильтром из НЖС 1.3л;Чайник эмалированный с фильтром из НЖС 1.3л;;35673;;;;;;1;;;;;;;;
7197727073853630467;Чайник эмалированный с фильтром из НЖС 1.3л;Чайник эмалированный с фильтром из НЖС 1.3л;;35831;;;;;;1;;;;;;;;
5633474601153407798;Чайник заварочный 1\,1л;Чайник заварочный 1\,1л;;33397;;;;;;1;;;;;;;;
5633474601153407798;Чайник заварочный 1\,1л;Чайник заварочный 1\,1л;;18755;;;;;;7;;;;;;;;
2977459430839039637;Чайник заварочный 1\,4л;Чайник заварочный 1\,4л;;36132;;;;;;5;;;;;;;;
7738757065841198061;Чайник заварочный 1.2л;Чайник заварочный 1.2л;;23964;;;;;;1;;;;;;;;
